(x) (t) (teta) (y)
50 60.3997 -67.264 69.268
50 60.4996 -67.3873 69.4538
50 60.5996 -67.5105 69.6552
50 60.6996 -67.6338 69.8714
50 60.7996 -67.757 70.1015
50 60.8996 -67.8803 70.3439
50 60.9996 -68.0035 70.5969
50 61.0996 -68.1268 70.8574
50 61.1996 -68.25 71.121
50 61.2996 -68.3733 71.3811
50 61.3996 -68.4965 71.629
50 61.4996 -68.6198 71.8546
50 61.5996 -68.743 72.0463
50 61.6996 -68.8663 72.1933
50 61.7996 -68.9895 72.2862
50 61.8996 -69.1128 72.3187
50 61.9996 -69.236 72.2885
50 62.0996 -69.3593 72.1978
50 62.1996 -69.4825 72.0526
50 62.2996 -69.6058 71.8623
50 62.3996 -69.729 71.6378
50 62.4996 -69.8522 71.3905
50 62.5996 -69.9755 71.1307
50 62.6996 -70.0987 70.8672
50 62.7996 -70.222 70.6064
50 62.8996 -70.3452 70.3531
50 62.9996 -70.4685 70.1102
50 63.0996 -70.5917 69.8797
50 63.1996 -70.715 69.6629
50 63.2996 -70.8382 69.4609
50 63.3996 -70.9615 69.2746
50 63.4996 -71.0847 69.1044
50 63.5996 -71.208 68.9509
50 63.6996 -71.3312 68.814
50 63.7996 -71.4545 68.6937
50 63.8996 -71.5777 68.5897
50 63.9996 -71.701 68.502
50 64.0996 -71.8242 68.4307
50 64.1996 -71.9474 68.3764
50 64.2996 -72.0707 68.3397
50 64.3996 -72.1939 68.3211
50 64.4996 -72.3172 68.3209
50 64.5996 -72.4404 68.3392
50 64.6996 -72.5637 68.3757
50 64.7996 -72.6869 68.4297
50 64.8996 -72.8102 68.5006
50 64.9996 -72.9334 68.588
50 65.0996 -73.0567 68.6918
50 65.1996 -73.1799 68.8118
50 65.2996 -73.3032 68.9484
50 65.3996 -73.4264 69.1016
50 65.4996 -73.5497 69.2715
50 65.5996 -73.6729 69.4576
50 65.6996 -73.7962 69.6593
50 65.7996 -73.9194 69.8758
50 65.8996 -74.0427 70.1061
50 65.9996 -74.1659 70.3488
50 66.0996 -74.2892 70.602
50 66.1996 -74.4124 70.8626
50 66.2996 -74.5356 71.1262
50 66.3996 -74.6589 71.3861
50 66.4996 -74.7821 71.6337
50 66.5996 -74.9054 71.8587
50 66.6996 -75.0286 72.0497
50 66.7996 -75.1519 72.1957
50 66.8996 -75.2751 72.2874
50 66.9995 -75.3984 72.3187
50 67.0995 -75.5216 72.2873
50 67.1995 -75.6449 72.1954
50 67.2995 -75.7681 72.0493
50 67.3995 -75.8914 71.8582
50 67.4995 -76.0146 71.6331
50 67.5995 -76.1379 71.3855
50 67.6995 -76.2611 71.1255
50 67.7995 -76.3844 70.862
50 67.8995 -76.5076 70.6013
50 67.9995 -76.6309 70.3482
50 68.0995 -76.7541 70.1055
50 68.1995 -76.8773 69.8753
50 68.2995 -77.0006 69.6588
50 68.3995 -77.1238 69.4571
50 68.4995 -77.2471 69.271
50 68.5995 -77.3703 69.1012
50 68.6995 -77.4936 68.948
50 68.7995 -77.6168 68.8115
50 68.8995 -77.7401 68.6915
50 68.9995 -77.8633 68.5878
50 69.0995 -77.9866 68.5004
50 69.1995 -78.1098 68.4295
50 69.2995 -78.2331 68.3755
50 69.3995 -78.3563 68.3392
50 69.4995 -78.4796 68.3209
50 69.5995 -78.6028 68.3211
50 69.6995 -78.7261 68.3398
50 69.7995 -78.8493 68.3766
50 69.8995 -78.9726 68.4309
50 69.9995 -79.0958 68.5022
50 70.0995 -79.219 68.5899
50 70.1995 -79.3423 68.694
50 70.2995 -79.4655 68.8144
50 70.3995 -79.5888 68.9513
50 70.4995 -79.712 69.1048
50 70.5995 -79.8353 69.275
50 70.6995 -79.9585 69.4614
50 70.7995 -80.0818 69.6634
50 70.8995 -80.205 69.8802
50 70.9995 -80.3283 70.1108
50 71.0995 -80.4515 70.3537
50 71.1995 -80.5748 70.6071
50 71.2995 -80.698 70.8678
50 71.3995 -80.8213 71.1314
50 71.4995 -80.9445 71.3911
50 71.5995 -81.0678 71.6384
50 71.6995 -81.191 71.8629
50 71.7995 -81.3143 72.0531
50 71.8995 -81.4375 72.1981
50 71.9995 -81.5608 72.2887
50 72.0995 -81.684 72.3187
50 72.1995 -81.8072 72.286
50 72.2995 -81.9305 72.193
50 72.3995 -82.0537 72.0459
50 72.4995 -82.177 71.854
50 72.5995 -82.3002 71.6284
50 72.6995 -82.4235 71.3804
50 72.7995 -82.5467 71.1203
50 72.8995 -82.67 70.8568
50 72.9995 -82.7932 70.5963
50 73.0995 -82.9165 70.3433
50 73.1995 -83.0397 70.1009
50 73.2995 -83.163 69.8709
50 73.3995 -83.2862 69.6546
50 73.4995 -83.4095 69.4533
50 73.5994 -83.5327 69.2675
50 73.6994 -83.656 69.0981
50 73.7994 -83.7792 68.9452
50 73.8994 -83.9025 68.809
50 73.9994 -84.0257 68.6893
50 74.0994 -84.1489 68.5859
50 74.1994 -84.2722 68.4988
50 74.2994 -84.3954 68.4283
50 74.3994 -84.5187 68.3747
50 74.4994 -84.6419 68.3386
50 74.5994 -84.7652 68.3207
50 74.6994 -84.8884 68.3213
50 74.7994 -85.0117 68.3403
50 74.8994 -85.1349 68.3775
50 74.9994 -85.2582 68.4321
50 75.0994 -85.3814 68.5037
50 75.1994 -85.5047 68.5918
50 75.2994 -85.6279 68.6962
50 75.3994 -85.7512 68.8169
50 75.4994 -85.8744 68.9541
